make,model,variant,cc,seating_capacity,fuel_type,local_output,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,TIGUAN,HIGHLINE TDI,1968,5,DIESEL,36533,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ALPHA PETROL,1197,5,PETROL,35642,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LAND CRUISER,200 V8,4461,7,DIESEL,33130,,,,,,,,,,,,,,,,,,,
ISUZU,MU X,4X4 AT,2999,7,DIESEL,36673,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NEO 3 Max 10 Seats,2499,10,DIESEL,33289,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NEO 3 LS 7 Seats,2499,7,DIESEL,33290,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,VENTO,TRENDLINE MPI,1598,5,PETROL,21699,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,530i SPORT LINE,1998,5,PETROL,37084,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLE,400 4MATIC,2996,5,PETROL,36682,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,330i GT LUXURY LINE,1998,5,PETROL,36719,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN ESTILO,LXI CNG,998,5,CNG,20755,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN ESTILO,CNG,1061,5,CNG,32721,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI PLUS,998,5,PETROL,35704,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLA,220 d 4MATIC ACTIVITY EDITION,2143,5,DIESEL,36186,,,,,,,,,,,,,,,,,,,
MARUTI,CELERIO,GREEN VXI (O),998,5,PETROL,36250,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,MONTE CARLO 1.6 MPI MT,1598,5,PETROL,37127,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI PLUS AGS,998,5,PETROL,35709,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR LXI(O),998,5,PETROL,35700,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI (O) AGS,998,5,PETROL,35703,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR LXI,998,5,PETROL,35699,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,COROLLA ALTIS,1.8 G CVT,1798,5,PETROL,36700,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,730LD DPE SIGNATURE,2993,4,DIESEL,36724,,,,,,,,,,,,,,,,,,,
BMW,X1,S DRIVE 20I XLINE,1998,5,PETROL,36728,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED 2.0 DIESEL 4X4,1956,5,DIESEL,36924,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED 1.4 PETROL AT,1368,5,PETROL,36916,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED (O) 2.0 DIESEL 4X4,1956,5,DIESEL,36925,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED (O) 1.4 PETROL AT,1368,5,PETROL,36918,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
MAHINDRA RENAULT,LOGAN,LOGAN GLS 1.6,1598,5,PETROL,12753,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,LXI LPG 5 STR,998,5,LPG,33407,,,,,,,,,,,,,,,,,,,
MARUTI,CELERIO,ZDI PLUS,793,5,DIESEL,31684,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,AURA 1.2 SAFIRE,1172,5,PETROL,12948,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,GVX SAFIRE 65,1172,5,PETROL,24456,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,1.4 AQUA SAFIRE,1396,5,PETROL,25184,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,GLX SAFIRE 65,1172,5,PETROL,24122,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,TERRA SAFIRE 90.,1368,5,PETROL,25870,,,,,,,,,,,,,,,,,,,
PORSCHE,718,CAYMAN,1988,2,PETROL,36454,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,LXI CNG (O),998,5,CNG,33406,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI PLUS AGS (O),998,5,PETROL,35702,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR GREEN LXI(O),998,5,PETROL,35706,,,,,,,,,,,,,,,,,,,
JEEP,WRANGLER,UNLIMITED 4x4 PETROL,3604,5,PETROL,37256,,,,,,,,,,,,,,,,,,,
FORD,FIGO ASPIRE,TITANIUM PLUS 1.5 TDCi,1498,5,DIESEL,30167,,,,,,,,,,,,,,,,,,,
BMW,X5,4.8i 7 SEATER,4799,7,PETROL,33099,,,,,,,,,,,,,,,,,,,
RENAULT,CAPTUR,RXL PETROL,1498,5,PETROL,37474,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
SKODA,OCTAVIA,L & K 1.8 TSI AT,1798,5,PETROL,37238,,,,,,,,,,,,,,,,,,,
AUDI,TT COUPE,108.0,1781,5,PETROL,32599,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A8,L 60 TDI,4134,4,DIESEL,36659,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLC,220 D 4MATIC STYLE,2143,5,DIESEL,36974,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,730 LD DPE SIGNATURE,2993,5,DIESEL,36597,,,,,,,,,,,,,,,,,,,
MARUTI,ERTIGA,VDI,1248,7,DIESEL,24005,,,,,,,,,,,,,,,,,,,
BMW,M4,COUPE,2979,4,PETROL,36730,,,,,,,,,,,,,,,,,,,
BMW,6-SERIES,640D DESIGN PURE EXPERIENCE,2993,5,DIESEL,36723,,,,,,,,,,,,,,,,,,,
BMW,X5,M,4395,5,PETROL,36732,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,750LI M SPORT,4395,4,PETROL,36727,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA EV2,LS,1396,5,DIESEL,21735,,,,,,,,,,,,,,,,,,,
VOLVO,S60,POLESTAR,1969,5,PETROL,37384,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,PASSAT,COMFORTLINE,1968,5,DIESEL,37388,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,1.2 ZXi BS III,1197,5,PETROL,37393,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,SPORT 2.0 DIESEL,1956,5,DIESEL,36919,,,,,,,,,,,,,,,,,,,
BMW,X3,X DRIVE 28I XLINE,1997,5,PETROL,36729,,,,,,,,,,,,,,,,,,,
HUMMER,H2,7 STR,6000,7,PETROL,36832,,,,,,,,,,,,,,,,,,,
SKODA,OCTAVIA,RS 2.0 TSI AT,1984,5,PETROL,37091,,,,,,,,,,,,,,,,,,,
FIAT,PETRA,1.2 ELX,1242,5,PETROL,33012,,,,,,,,,,,,,,,,,,,
FIAT,PALIO,ADVENTURE PS,1596,5,PETROL,33013,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.2 MPI ANNIVERSARY EDITION,1198,5,PETROL,37396,,,,,,,,,,,,,,,,,,,
FIAT,LINEA,1.3 D,1248,5,PETROL,33459,,,,,,,,,,,,,,,,,,,
FIAT,PALIO,S 10,1596,5,PETROL,33015,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ZETA PETROL,1197,5,PETROL,35641,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ZETA DIESEL AMT,1248,5,DIESEL,35643,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
MARUTI,ERTIGA,VXI CNG,1373,7,CNG,26415,,,,,,,,,,,,,,,,,,,
FIAT,PALIO,ADVENTURE,1596,5,PETROL,33014,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,Xcite (4 STR),796,4,PETROL,33036,,,,,,,,,,,,,,,,,,,
PORSCHE,MACAN,R4,1984,5,PETROL,37443,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS NX,300H F SPORT,2494,5,PETROL,38152,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS NX,300H LUXURY,2494,5,PETROL,38153,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.0L PACE PETROL,999,5,PETROL,38963,,,,,,,,,,,,,,,,,,,
BMW,M6 COUPE,4.4,4395,5,PETROL,33313,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LONGITUDE 2.0 DIESEL,1956,5,DIESEL,36920,,,,,,,,,,,,,,,,,,,
BMW,5 SERIES,528i,2793,5,PETROL,32572,,,,,,,,,,,,,,,,,,,
BMW,Z4,3.21 M Coupe,3999,2,PETROL,33309,,,,,,,,,,,,,,,,,,,
VOLVO,S60,D4 MOMENTUM,1984,5,DIESEL,36872,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,SUMO,VICTA GX,1948,7,DIESEL,19037,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIAGO,REVOTRON XTA,1199,5,PETROL,37151,,,,,,,,,,,,,,,,,,,
MARUTI,S-CROSS,SMART HYBRID SIGMA,1248,5,DIESEL,37330,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,DECA VXI,1197,5,PETROL,32341,,,,,,,,,,,,,,,,,,,
VOLVO,V40 CROSS COUNTRY,T4,1969,5,PETROL,35764,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI(O),998,5,PETROL,35698,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,S-CLASS,S 500 XL,4663,4,PETROL,36581,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,730LD M SPORT,2993,4,DIESEL,36725,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,SMART HYBRID ZETA,1248,5,DIESEL,36710,,,,,,,,,,,,,,,,,,,
MARUTI,BALENO HATCHBACK,Zeta AT 1.2,1197,5,PETROL,31478,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.2 HIGHLINE PLUS PETROL,1198,5,PETROL,37346,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA V2 XETA,GLS LPG,1193,5,LPG,12944,,,,,,,,,,,,,,,,,,,
PORSCHE,CAYMAN,GT4,3800,2,PETROL,36050,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,1.2 VXi BS IV,1197,5,PETROL,18914,,,,,,,,,,,,,,,,,,,
FORD,FIGO ASPIRE,TITANIUM 1.5 TDCi,1498,5,DIESEL,30170,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI PLUS (O),998,5,PETROL,35701,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT DZIRE,ZXI,1298,5,PETROL,12804,,,,,,,,,,,,,,,,,,,
MARUTI,S-CROSS,SMART HYBRID DELTA,1248,5,DIESEL,37331,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLC,43 AMG COUPE,2996,4,PETROL,36946,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,VENTURE,EX 8 SEATER,1405,8,DIESEL,33468,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,VENTURE,EX (5 Seater),1405,5,DIESEL,33142,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,VENTURE,EX 5 SEATER,1405,5,DIESEL,33377,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO ECS,VX,1396,5,DIESEL,25359,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO ECS,LX,1396,5,DIESEL,24323,,,,,,,,,,,,,,,,,,,
MARUTI,ERTIGA,VDI SHVS,1248,7,DIESEL,31663,,,,,,,,,,,,,,,,,,,
VOLVO,S80,44L V8,4414,5,PETROL,33113,,,,,,,,,,,,,,,,,,,
VOLVO,XC90,D5 R DESIGN,1969,7,DIESEL,36875,,,,,,,,,,,,,,,,,,,
SKODA,KODIAQ,STYLE TDI 4x4 AT,1968,7,DIESEL,37267,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,1.2 DLX,1197,5,PETROL,36428,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS ES,300h,2487,5,PETROL,36279,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,M-CLASS,ML 270 CDI,2685,5,DIESEL,19376,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 350 CDI ELEGANCE,2987,5,DIESEL,21586,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,C 250,2497,5,DIESEL,19405,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,220 CDI AT,2148,5,DIESEL,17040,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ZEST,XM QUADRAJET 75PS DIESEL,1248,5,DIESEL,36755,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,ALPHA 1.5 MT,1462,5,PETROL,39246,,,,,,,,,,,,,,,,,,,
