make,model,variant,cc,seating_capacity,fuel_type,local_output,,,,,,,,,,,,,,,,,,,
BMW,M6,GRAN COUPE,4395,4,PETROL,36731,,,,,,,,,,,,,,,,,,,
MAHINDRA,XYLO,D4,2489,8,DIESEL,22767,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,POWER PLUS ZLX,1493,7,DIESEL,32506,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,M-CLASS,ML 320 CDI,2987,5,DIESEL,12845,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,BENZ 190,D,1796,5,DIESEL,20836,,,,,,,,,,,,,,,,,,,
FORCE,GURKHA,4x2 HARD TOP,2596,9,DIESEL,40750,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,BEAT,1.0 TCDi MY 12,936,5,DIESEL,23086,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA MAGNUM,2.0 LT TCDI,1991,5,DIESEL,12561,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,LS,999,5,PETROL,17439,,,,,,,,,,,,,,,,,,,
HYUNDAI,ACCENT,EXECUTIVE LPG,1495,5,LPG,16991,,,,,,,,,,,,,,,,,,,
HYUNDAI,ACCENT,GLE,1495,5,PETROL,16992,,,,,,,,,,,,,,,,,,,
HYUNDAI,SONATA EMBERA,AT(LEATHER),2359,5,PETROL,12684,,,,,,,,,,,,,,,,,,,
HYUNDAI,SONATA,GLS,1997,5,PETROL,12679,,,,,,,,,,,,,,,,,,,
HYUNDAI,TG AZERA,NULL,3342,5,DIESEL,20444,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,ASTA 1.2 KAPPA VTVT,1197,5,PETROL,26676,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,POLO,1.5L TRENDLINE (D),1498,5,DIESEL,28280,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,VENTO,1.5 COMFORTLINE DIESEL,1498,5,DIESEL,31227,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA,GLS 1.5,1493,5,DIESEL,19765,,,,,,,,,,,,,,,,,,,
HYUNDAI,VERNA TRANSFORM,1.6 SX VTVT,1599,5,PETROL,20099,,,,,,,,,,,,,,,,,,,
HYUNDAI,I20,1.2 SPORTZ (O),1197,5,PETROL,19512,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,GL NON AC,1086,5,PETROL,20410,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO XING,AT,1086,5,PETROL,17513,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO XING,XE,1086,5,PETROL,17514,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,GL (CNG),1086,5,CNG,17433,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO XING,XG,1086,5,PETROL,17515,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A8,L 50 TDI,2967,4,DIESEL,40480,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,XLS 9STR,2523,9,DIESEL,27828,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,XL 9-SEATER NON-AC,2523,9,DIESEL,12722,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,1.5 PLATINUM EDITION DIESEL,1498,5,DIESEL,35958,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,MONTE CARLO 1.5 TDI CR AT,1498,5,DIESEL,37126,,,,,,,,,,,,,,,,,,,
SKODA,FABIA,ACTIVE 1.2 TDI,1199,5,DIESEL,29664,,,,,,,,,,,,,,,,,,,
MAHINDRA,MARAZZO,M4 7STR,1497,7,DIESEL,39348,,,,,,,,,,,,,,,,,,,
MAHINDRA,MARAZZO,M6 7STR,1497,7,DIESEL,39350,,,,,,,,,,,,,,,,,,,
MAHINDRA,MARAZZO,M8 7STR,1497,7,DIESEL,39352,,,,,,,,,,,,,,,,,,,
MAHINDRA,MARAZZO,M6 8STR,1497,8,DIESEL,39351,,,,,,,,,,,,,,,,,,,
MAHINDRA,MARAZZO,M2 8STR,1497,8,DIESEL,39347,,,,,,,,,,,,,,,,,,,
MAHINDRA,MARAZZO,M4 8STR,1497,8,DIESEL,39349,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 EV MS - 7-SEATER,2494,7,DIESEL,13054,,,,,,,,,,,,,,,,,,,
FORD,FIGO,1.5 TITANIUM DIESEL,1498,5,DIESEL,30581,,,,,,,,,,,,,,,,,,,
MITSUBISHI,LANCER,GLX,1998,5,DIESEL,19505,,,,,,,,,,,,,,,,,,,
MAHINDRA,MM 540,540 DP,2112,6,Diesel,17614,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,QUALIS,FS B6,2446,10,DIESEL,13075,,,,,,,,,,,,,,,,,,,
MAHINDRA,TUV 500,T4,1493,7,DIESEL,33510,,,,,,,,,,,,,,,,,,,
MARUTI,EECO,5 STR WITH HTR CNG,1196,5,CNG,20553,,,,,,,,,,,,,,,,,,,
HONDA,MOBILIO,E i-VTEC,1497,7,PETROL,28286,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,2.6 TURBO 10 SEATER,2609,10,DIESEL,21012,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,EX 9 STR,2523,9,DIESEL,25283,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 4WD 7STR,2179,7,DIESEL,28672,,,,,,,,,,,,,,,,,,,
SKODA,YETI,AMBITION 2.0 TDI CR 4X2,1968,5,DIESEL,25714,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K6 Plus 5 Str NXT Diesel,1198,5,DIESEL,37352,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,VLX 2.2 mHAWK BS III AIRBAG,2179,7,DIESEL,18898,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 1.99 7STR,1997,7,DIESEL,31912,,,,,,,,,,,,,,,,,,,
SKODA,OCTAVIA,STYLE PLUS 2.0 TDI AT,1968,5,DIESEL,30657,,,,,,,,,,,,,,,,,,,
SKODA,SUPERB,2.0 TDI CR,1968,5,DIESEL,19874,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,ETIOS,GD XCLUSIVE EDITION,1364,5,DIESEL,32146,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,ETIOS,VD,1364,5,DIESEL,22605,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 V - 7 SEATER,2494,7,DIESEL,13063,,,,,,,,,,,,,,,,,,,
FORD,ENDEAVOUR,3.2L 4X4 TITANIUM PLUS AT,3198,7,DIESEL,40757,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,LP,999,5,PETROL,17531,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,VXI (O),1197,5,PETROL,31339,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,K10 VXI,998,5,PETROL,20233,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,SPORTZ 7 SEATER,2498,7,DIESEL,17447,,,,,,,,,,,,,,,,,,,
MAHINDRA,E VERITO,D6,1461,5,ELECTRIC,31835,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K6 6 Str Diesel,1198,6,DIESEL,30955,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K6 Plus 5 Str Diesel,1198,5,DIESEL,30954,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K6 Plus 6 Str Diesel,1198,6,DIESEL,30953,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,1.2 VXI (O),1197,5,PETROL,40503,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,AMBITION 1.6 TDI CR MT PLUS,1598,5,DIESEL,25828,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR STYLE PLUS BLACK PACKAGE AT,1498,5,DIESEL,30804,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR STYLE PLUS AT,1498,5,DIESEL,30805,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,MAGNA 1.2 KAPPA VTVT CNG,1197,5,CNG,41235,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S10 8STR,2179,8,DIESEL,28676,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,PLUS 9STR,2523,9,DIESEL,20926,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,SPORTZ 8 SEATER,2498,8,DIESEL,17448,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,XLS,2498,7,DIESEL,17449,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 VX - 8 SEATER,2494,8,DIESEL,13066,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 G2 7STR,2494,7,DIESEL,19299,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 G4 - 7 SEATER,2494,7,DIESEL,13059,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 GX - 8 SEATER,2494,8,DIESEL,13062,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 E - 8 SEATER,2494,8,DIESEL,13053,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR AMBITION PLUS AT,1498,5,DIESEL,28732,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,V-CLASS,EXPRESSION ELWB,2143,7,DIESEL,40545,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,SPORTZ U2 1.2 CRDI,1186,5,DIESEL,35914,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,SPORTZ (O) U2 1.2 CRDI,1186,5,DIESEL,35915,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,ASTA U2 1.2 CRDI,1186,5,DIESEL,35916,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,ERA U2 1.2 CRDI,1186,5,DIESEL,35912,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K8 6 Str NXT Diesel,1198,6,DIESEL,37355,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K4 Plus 5 Str NXT Petrol,1198,5,PETROL,37359,,,,,,,,,,,,,,,,,,,
MARUTI,BALENO HATCHBACK,Alpha 1.2,1197,5,PETROL,30563,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 4WD 8STR,2179,8,DIESEL,28680,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S6 PLUS 8STR,2179,8,DIESEL,28678,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 PLUS 4WD 9STR,2179,9,DIESEL,30279,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 PLUS 7STR,2179,7,DIESEL,29485,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,LX 2.2 MHAWK,2179,7,DIESEL,12725,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,GETAWAY 2WD,2609,5,DIESEL,12723,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 PLUS 9STR,2179,9,DIESEL,29486,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K8 6 Str Dual Tone NXT Diesel,1198,6,DIESEL,37356,,,,,,,,,,,,,,,,,,,
MAHINDRA,NUVOSPORT,N6,1493,7,DIESEL,31452,,,,,,,,,,,,,,,,,,,
HYUNDAI,EON,MAGNA PLUS LPG,814,5,LPG,23017,,,,,,,,,,,,,,,,,,,
HYUNDAI,EON,D LITE,814,5,PETROL,22633,,,,,,,,,,,,,,,,,,,
HYUNDAI,EON,ERA PLUS LPG,814,5,LPG,23037,,,,,,,,,,,,,,,,,,,
HYUNDAI,EON,MAGNA PLUS (O),814,5,PETROL,32367,,,,,,,,,,,,,,,,,,,
MAHINDRA,E20,PLUS P4,999,4,ELECTRIC,35726,,,,,,,,,,,,,,,,,,,
FORD,FIGO,1.5 AMBIENTE DIESEL,1498,5,DIESEL,30583,,,,,,,,,,,,,,,,,,,
FORD,FIGO,1.5 BASE DIESEL,1498,5,DIESEL,30584,,,,,,,,,,,,,,,,,,,
FORD,FIGO,1.5 TREND DIESEL,1498,5,DIESEL,30582,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S6 PLUS 1.99 8STR,1997,8,DIESEL,31921,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 PLUS 4WD 1.99 7STR,1997,7,DIESEL,31920,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 PLUS 4WD 1.99 8STR,1997,8,DIESEL,31919,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S8 1.99 8STR,1997,8,DIESEL,31917,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K6 Plus 6 Str NXT Diesel,1198,6,DIESEL,37353,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,K8 6 Str NXT Petrol,1198,6,PETROL,37364,,,,,,,,,,,,,,,,,,,
HYUNDAI,EON,ERA PLUS (O) LPG,814,5,LPG,33677,,,,,,,,,,,,,,,,,,,
HYUNDAI,I20,Elite i20 Asta 1.4 CRDI Dual Tone,1396,5,DIESEL,37263,,,,,,,,,,,,,,,,,,,
HONDA,NEW JAZZ,SV MT,1199,5,PETROL,30024,,,,,,,,,,,,,,,,,,,
HONDA,BRIO,VX BL AT,1198,5,PETROL,29592,,,,,,,,,,,,,,,,,,,
HONDA,BR-V,E PETROL,1497,7,PETROL,31546,,,,,,,,,,,,,,,,,,,
HONDA,BR-V,S PETROL,1497,7,PETROL,31545,,,,,,,,,,,,,,,,,,,
HONDA,NEW JAZZ,S CVT,1199,5,PETROL,30021,,,,,,,,,,,,,,,,,,,
HONDA,BR-V,V CVT PETROL,1497,7,PETROL,31542,,,,,,,,,,,,,,,,,,,
HONDA,BR-V,E DIESEL,1498,7,DIESEL,31541,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,TITANIUM 1.5 TDCI OPT,1498,5,DIESEL,27485,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,CORONA,1600,1587,5,PETROL,30185,,,,,,,,,,,,,,,,,,,
RENAULT,CAPTUR,RXT DIESEL,1461,5,DIESEL,38890,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,B-CLASS,200 CDI SPORT,2143,5,DIESEL,41052,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,280 CDI ELEGANCE,2987,5,DIESEL,12843,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,BENZ 190,2.5 D,2497,5,DIESEL,20861,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,250 CDI CLASSIC,2143,5,DIESEL,19654,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GL,350 CDI BlueEFFICIENCY,2987,7,DIESEL,18918,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 V - 8 SEATER,2494,8,DIESEL,13064,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 G3,2494,8,DIESEL,18038,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.0L COMFORTLINE (P),999,5,PETROL,39270,,,,,,,,,,,,,,,,,,,
MAHINDRA,VERITO VIBE CS,1.5 D6,1461,5,DIESEL,26304,,,,,,,,,,,,,,,,,,,
MAHINDRA,XYLO,E8 8STR,2498,8,DIESEL,18892,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,GLX 4WD,2498,7,DIESEL,17443,,,,,,,,,,,,,,,,,,,
HONDA,NEW JAZZ,S iDTEC,1498,5,DIESEL,30020,,,,,,,,,,,,,,,,,,,
HONDA,NEW JAZZ,E iDTEC,1498,5,DIESEL,30023,,,,,,,,,,,,,,,,,,,
HONDA,BR-V,S DIESEL,1498,7,DIESEL,31540,,,,,,,,,,,,,,,,,,,
HONDA,BR-V,VX DIESEL,1498,7,DIESEL,31538,,,,,,,,,,,,,,,,,,,
HONDA,NEW JAZZ,V MT,1199,5,PETROL,30022,,,,,,,,,,,,,,,,,,,
HONDA,NEW JAZZ,E MT,1199,5,PETROL,30026,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,EX AC 8 STR,2523,8,DIESEL,34773,,,,,,,,,,,,,,,,,,,
MARUTI,VITARA BREZZA,ZDI,1248,5,DIESEL,31267,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,C-CLASS,250 CDI ELEGANCE,2143,5,DIESEL,19652,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 250 CDI ELEGANCE,2143,5,DIESEL,21583,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,R-CLASS,R 350 CDI 4MATIC,2987,7,DIESEL,27803,,,,,,,,,,,,,,,,,,,
HONDA,AMAZE,EX PETROL,1198,5,PETROL,26113,,,,,,,,,,,,,,,,,,,
HYUNDAI,I20,Elite i20 Era 1.4 CRDI,1396,5,DIESEL,28449,,,,,,,,,,,,,,,,,,,
HYUNDAI,FLUIDIC VERNA,4S 1.6 CRDI SX AT,1582,5,DIESEL,29534,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,ASTA 1.2 KAPPA VTVT (O),1197,5,PETROL,27518,,,,,,,,,,,,,,,,,,,
HYUNDAI,GRAND I10,MAGNA AT 1.2 KAPPA VTVT,1197,5,PETROL,35992,,,,,,,,,,,,,,,,,,,
MAHINDRA,XYLO,E8 ABS AIRBAG 8STR,2498,8,DIESEL,18894,,,,,,,,,,,,,,,,,,,
MAHINDRA,REVA,e2o T2,650,4,ELECTRIC,33432,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,XL 9-SEATER,2523,9,DIESEL,12721,,,,,,,,,,,,,,,,,,,
MAHINDRA,XYLO,E6,2498,7,DIESEL,12732,,,,,,,,,,,,,,,,,,,
MAHINDRA,XYLO,H4 BS IV,2179,7,DIESEL,26278,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,TITANIUM PLUS 1.5 TDCi,1498,5,DIESEL,30747,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL,1.3 LS ABS,1248,5,DIESEL,25897,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL,1.3 LT ABS,1248,5,DIESEL,25892,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,BEAT,1.0 LS TCDi MY 12,936,5,DIESEL,23085,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,SAIL,1.3 PS,1248,5,DIESEL,27253,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,BEAT,LS 1.0,936,5,DIESEL,22293,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,BEAT,PS 1.0,936,5,DIESEL,22294,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,BEAT,LT 1.0 OPT,936,5,DIESEL,22296,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,OPTRA MAGNUM,2.0 MAX TCDI,1991,5,DIESEL,12562,,,,,,,,,,,,,,,,,,,
HYUNDAI,FLUIDIC VERNA,4S 1.6 CRDI S AT,1582,5,DIESEL,31209,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,ZLX 7 STR 2WD,2523,7,DIESEL,24238,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,CAMPER GOLD 6 STR,2523,6,DIESEL,32495,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,AMBITION 1.6 TDI CR MT,1598,5,DIESEL,22726,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR STYLE PLUS,1498,5,DIESEL,30707,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO 800,LXI (O),796,5,PETROL,37213,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,ONYX 1.5 TDI AT,1498,5,DIESEL,39473,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,ONYX 1.5 TDI LE,1498,5,DIESEL,39472,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,CAMPER GOLD,2523,5,DIESEL,28090,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,EX AC,2523,7,DIESEL,27391,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,EX,2523,7,DIESEL,27392,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,PLUS AC,2523,7,DIESEL,12711,,,,,,,,,,,,,,,,,,,
HYUNDAI,ACCENT,GLE LPG,1495,5,LPG,21495,,,,,,,,,,,,,,,,,,,
HYUNDAI,I20,Elite i20 Era 1.2,1197,5,PETROL,28445,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,LX 2.6 Turbo,2609,9,DIESEL,18030,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,CAMPER 2WD,2523,5,DIESEL,21304,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,SIGNATURE EDITION PETROL,1497,5,PETROL,38919,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,LE,999,5,PETROL,17438,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,ECO GL,1086,5,PETROL,22813,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,1.5L S MT PETROL,1496,5,PETROL,42753,,,,,,,,,,,,,,,,,,,
SKODA,OCTAVIA,AMBITION PLUS 2.0 TDI CR,1968,5,DIESEL,35668,,,,,,,,,,,,,,,,,,,
MORRIS GARAGES,HECTOR,2.0 STYLE DIESEL,1956,5,DIESEL,41535,,,,,,,,,,,,,,,,,,,
MAHINDRA.,XUV 500,W10 FWD REFRESH,2179,7,DIESEL,36791,,,,,,,,,,,,,,,,,,,
MAHINDRA,MAXX,FESTIVA 6STR,2112,6,DIESEL,20265,,,,,,,,,,,,,,,,,,,
MAHINDRA,COMMANDER,750 DP,2523,10,Diesel,17613,,,,,,,,,,,,,,,,,,,
MAHINDRA,COMMANDER,750 DP,2523,8,Diesel,17612,,,,,,,,,,,,,,,,,,,
MAHINDRA,VOYAGER,VOYAGER,2498,9,DIESEL,19604,,,,,,,,,,,,,,,,,,,
MAHINDRA,COMMANDER,CDR 650 DI 4WD,2523,10,Diesel,17610,,,,,,,,,,,,,,,,,,,
MAHINDRA,MAXX,FESTARA 10STR,2523,10,DIESEL,19081,,,,,,,,,,,,,,,,,,,
MAHINDRA,MAXX,LX,2523,9,DIESEL,19082,,,,,,,,,,,,,,,,,,,
MAHINDRA,CL 550,550 4WD,2498,7,Diesel,17607,,,,,,,,,,,,,,,,,,,
MAHINDRA,E VERITO,D2,1461,5,ELECTRIC,31836,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,ACTIVE 1.6 TDI CR MT,1598,5,DIESEL,22729,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,1.5 TDI CR AMBITION WITH ALLOY WHEELS,1498,5,DIESEL,30452,,,,,,,,,,,,,,,,,,,
HYUNDAI,I20,Elite i20 Magna 1.2 Executive,1197,5,PETROL,36529,,,,,,,,,,,,,,,,,,,
MAHINDRA,REVA,e2o T0,650,4,ELECTRIC,33431,,,,,,,,,,,,,,,,,,,
MAHINDRA,XYLO,E2 8STR,2498,8,DIESEL,19856,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S8 7STR,2179,7,DIESEL,28669,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,DI 8STR,2523,8,DIESEL,19121,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,VLX CRDE 7 STR.,2523,7,DIESEL,22801,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S6 8STR,2179,8,DIESEL,28679,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S4 8STR,2179,8,DIESEL,28681,,,,,,,,,,,,,,,,,,,
MAHINDRA,SCORPIO,S8 8STR,2179,8,DIESEL,28677,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,CRYSTA 2.5 VX - 7 STR,2494,7,DIESEL,22571,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 E,2494,8,DIESEL,13051,,,,,,,,,,,,,,,,,,,
MAHINDRA,CL 500,CL 500,2523,7,Diesel,17616,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,SIGNATURE EDITION DIESEL,1498,5,DIESEL,38686,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,1.5L S DIESEL,1498,5,DIESEL,38798,,,,,,,,,,,,,,,,,,,
FORD,ENDEAVOUR,2.2L 4X2 TITANIUM AT,2198,7,DIESEL,31199,,,,,,,,,,,,,,,,,,,
FORD,ENDEAVOUR,2.2L 4X2 TREND MT,2198,7,DIESEL,31203,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 EV PS - 8-SEATER,2494,8,DIESEL,13057,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 G4 - 8 SEATER,2494,8,DIESEL,13060,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,INNOVA,2.5 G 7STR,2494,7,DIESEL,19831,,,,,,,,,,,,,,,,,,,
FORD,FIESTA,1.4 DURATORQ SXI,1399,5,PETROL,33458,,,,,,,,,,,,,,,,,,,
MAHINDRA,CL 550,550 2WD,2523,7,Diesel,17606,,,,,,,,,,,,,,,,,,,
MAHINDRA.,KUV 100,TRIP 6 STR CNG,1198,6,CNG,38384,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,LX,2498,7,DIESEL,17446,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,DIZ,2523,7,DIESEL,12709,,,,,,,,,,,,,,,,,,,
HYUNDAI,I20,1.2 ERA,1197,5,PETROL,19147,,,,,,,,,,,,,,,,,,,
HYUNDAI,ACCENT,VIVA ABS,1599,5,PETROL,16997,,,,,,,,,,,,,,,,,,,
HYUNDAI,ELANTRA,CRDI DECONTENT,1991,5,DIESEL,12634,,,,,,,,,,,,,,,,,,,
HYUNDAI,SANTRO,XK NON-AC,1086,5,PETROL,17440,,,,,,,,,,,,,,,,,,,
HYUNDAI,SONATA EMBERA,MT(FABRIC),2359,5,PETROL,12685,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,TREND PLUS 1.5 Ti-VCT AT,1497,5,PETROL,37583,,,,,,,,,,,,,,,,,,,
MAHINDRA,MAXX,MAXX 10 SEATER,2523,10,DIESEL,17538,,,,,,,,,,,,,,,,,,,
MAHINDRA,MAXXIMO,8 SEATER,909,8,DIESEL,22259,,,,,,,,,,,,,,,,,,,
MAHINDRA,BOLERO,DI CNG 2WD RIGID BS4,2523,8,CNG,20777,,,,,,,,,,,,,,,,,,,
MAHINDRA,ECONOMY,NULL,2523,5,DIESEL,20462,,,,,,,,,,,,,,,,,,,
MAHINDRA,SAVARI,12 SEATER,2523,12,DIESEL,20359,,,,,,,,,,,,,,,,,,,
MAHINDRA,COMMANDER,CDR 650 DI 2WD,2523,10,Diesel,17609,,,,,,,,,,,,,,,,,,,
MAHINDRA,SAVARI,DI 6STR,2523,6,DIESEL,20769,,,,,,,,,,,,,,,,,,,
MAHINDRA,VERITO,1.5 D4 BS III,1461,5,DIESEL,21902,,,,,,,,,,,,,,,,,,,
MAHINDRA,VERITO,1.4 G2 BS IV,1390,5,PETROL,21909,,,,,,,,,,,,,,,,,,,
